"player","player_fuzzy_cricketdata","team","merge_team","season","player_fuzzy_ipl_contracts"
"K Rabada","K  Rabada","Delhi Capitals","delhi capitals","2021","K  Rabada"
"K Rabada","K  Rabada","Punjab Kings","punjab kings","2022","K  Rabada"
"K Rabada","K  Rabada","Punjab Kings","punjab kings","2023","K  Rabada"
"KL Rahul","K  Rahul","Punjab Kings","punjab kings","2018","K  Rahul"
"KL Rahul","K  Rahul","Punjab Kings","punjab kings","2019","K  Rahul"
"KL Rahul","K  Rahul","Punjab Kings","punjab kings","2020","K  Rahul"
"KL Rahul","K  Rahul","Punjab Kings","punjab kings","2021","K  Rahul"
"KL Rahul","K  Rahul","Lucknow Super Giants","lucknow super giants","2022","K  Rahul"
"KL Rahul","K  Rahul","Lucknow Super Giants","lucknow super giants","2023","K  Rahul"
"KW Richardson","K  Richardson","Royal Challengers Bangalore","royal challengers bangalore","2021","K  Richardson"
"KR Sen","K  Sen","Rajasthan Royals","rajasthan royals","2022","K  Sen"
"KR Sen","K  Sen","Rajasthan Royals","rajasthan royals","2023","K  Sen"
"KV Sharma","K  Sharma","Mumbai Indians","mumbai indians","2017","K  Sharma"
"KV Sharma","K  Sharma","Chennai Super Kings","chennai super kings","2018","K  Sharma"
"KV Sharma","K  Sharma","Chennai Super Kings","chennai super kings","2019","K  Sharma"
"KV Sharma","K  Sharma","Chennai Super Kings","chennai super kings","2020","K  Sharma"
"KS Sharma","K  Sharma","Lucknow Super Giants","lucknow super giants","2022","K  Sharma"
"KS Sharma","K  Sharma","Lucknow Super Giants","lucknow super giants","2023","K  Sharma"
"KV Sharma","K  Sharma","Royal Challengers Bangalore","royal challengers bangalore","2023","K  Sharma"
"Kartik Tyagi","K  Tyagi","Rajasthan Royals","rajasthan royals","2020","K  Tyagi"
"Kartik Tyagi","K  Tyagi","Rajasthan Royals","rajasthan royals","2021","K  Tyagi"
"Kartik Tyagi","K  Tyagi","Sunrisers Hyderabad","sunrisers hyderabad","2022","K  Tyagi"
"Kartik Tyagi","K  Tyagi","Sunrisers Hyderabad","sunrisers hyderabad","2023","K  Tyagi"
"KS Williamson","K  Williamson","Sunrisers Hyderabad","sunrisers hyderabad","2017","K  Williamson"
"KS Williamson","K  Williamson","Sunrisers Hyderabad","sunrisers hyderabad","2018","K  Williamson"
"KS Williamson","K  Williamson","Sunrisers Hyderabad","sunrisers hyderabad","2019","K  Williamson"
"KS Williamson","K  Williamson","Sunrisers Hyderabad","sunrisers hyderabad","2020","K  Williamson"
"KS Williamson","K  Williamson","Sunrisers Hyderabad","sunrisers hyderabad","2021","K  Williamson"
"KS Williamson","K  Williamson","Sunrisers Hyderabad","sunrisers hyderabad","2022","K  Williamson"
"Kuldeep Yadav","K  Yadav","Kolkata Knight Riders","kolkata knight riders","2017","K  Yadav"
"Kuldeep Yadav","K  Yadav","Kolkata Knight Riders","kolkata knight riders","2018","K  Yadav"
"Kuldeep Yadav","K  Yadav","Kolkata Knight Riders","kolkata knight riders","2019","K  Yadav"
"Kuldeep Yadav","K  Yadav","Kolkata Knight Riders","kolkata knight riders","2020","K  Yadav"
"K Yadav","K  Yadav","Rajasthan Royals","rajasthan royals","2021","K  Yadav"
"Kuldeep Yadav","K  Yadav","Delhi Capitals","delhi capitals","2022","K  Yadav"
"Kuldeep Yadav","K  Yadav","Delhi Capitals","delhi capitals","2023","K  Yadav"
"K Yadav","K  Yadav","Rajasthan Royals","rajasthan royals","2023","K  Yadav"
"Liton Das","L  Das","Kolkata Knight Riders","kolkata knight riders","2023","L  Das"
"LH Ferguson","L  Ferguson","Rising Pune Supergiants","rising pune supergiants","2017","L  Ferguson"
"LH Ferguson","L  Ferguson","Kolkata Knight Riders","kolkata knight riders","2019","L  Ferguson"
"LH Ferguson","L  Ferguson","Kolkata Knight Riders","kolkata knight riders","2020","L  Ferguson"
"LH Ferguson","L  Ferguson","Kolkata Knight Riders","kolkata knight riders","2021","L  Ferguson"
"LH Ferguson","L  Ferguson","Gujarat Titans","gujarat titans","2022","L  Ferguson"
"LH Ferguson","L  Ferguson","Kolkata Knight Riders","kolkata knight riders","2023","L  Ferguson"
"LS Livingstone","L  Livingstone","Rajasthan Royals","rajasthan royals","2019","L  Livingstone"
"LS Livingstone","L  Livingstone","Rajasthan Royals","rajasthan royals","2021","L  Livingstone"
"LS Livingstone","L  Livingstone","Punjab Kings","punjab kings","2022","L  Livingstone"
"LS Livingstone","L  Livingstone","Punjab Kings","punjab kings","2023","L  Livingstone"
"SL Malinga","S  Malinga","Mumbai Indians","mumbai indians","2017","L  Malinga"
"SL Malinga","S  Malinga","Mumbai Indians","mumbai indians","2019","L  Malinga"
"LI Meriwala","L  Meriwala","Delhi Capitals","delhi capitals","2021","L  Meriwala"
"L Ngidi","L  Ngidi","Chennai Super Kings","chennai super kings","2018","L  Ngidi"
"L Ngidi","L  Ngidi","Chennai Super Kings","chennai super kings","2020","L  Ngidi"
"L Ngidi","L  Ngidi","Chennai Super Kings","chennai super kings","2021","L  Ngidi"
"LMP Simmons","L  Simmons","Mumbai Indians","mumbai indians","2017","L  Simmons"
"Lalit Yadav","L  Yadav","Delhi Capitals","delhi capitals","2021","L  Yadav"
"Lalit Yadav","L  Yadav","Delhi Capitals","delhi capitals","2022","L  Yadav"
"Lalit Yadav","L  Yadav","Delhi Capitals","delhi capitals","2023","L  Yadav"
"MA Agarwal","M  Agarwal","Rising Pune Supergiants","rising pune supergiants","2017","M  Agarwal"
"MA Agarwal","M  Agarwal","Punjab Kings","punjab kings","2018","M  Agarwal"
"MA Agarwal","M  Agarwal","Punjab Kings","punjab kings","2019","M  Agarwal"
"MA Agarwal","M  Agarwal","Punjab Kings","punjab kings","2020","M  Agarwal"
"MA Agarwal","M  Agarwal","Punjab Kings","punjab kings","2021","M  Agarwal"
"MA Agarwal","M  Agarwal","Punjab Kings","punjab kings","2022","M  Agarwal"
"MA Agarwal","M  Agarwal","Sunrisers Hyderabad","sunrisers hyderabad","2023","M  Agarwal"
"MM Ali","M  Ali","Royal Challengers Bangalore","royal challengers bangalore","2018","M  Ali"
"MM Ali","M  Ali","Royal Challengers Bangalore","royal challengers bangalore","2019","M  Ali"
"MM Ali","M  Ali","Royal Challengers Bangalore","royal challengers bangalore","2020","M  Ali"
"MM Ali","M  Ali","Chennai Super Kings","chennai super kings","2021","M  Ali"
"MM Ali","M  Ali","Chennai Super Kings","chennai super kings","2022","M  Ali"
"MM Ali","M  Ali","Chennai Super Kings","chennai super kings","2023","M  Ali"
"M Ashwin","M  Ashwin","Royal Challengers Bangalore","royal challengers bangalore","2018","M  Ashwin"
"M Ashwin","M  Ashwin","Punjab Kings","punjab kings","2019","M  Ashwin"
"M Ashwin","M  Ashwin","Punjab Kings","punjab kings","2020","M  Ashwin"
"M Ashwin","M  Ashwin","Punjab Kings","punjab kings","2021","M  Ashwin"
"M Ashwin","M  Ashwin","Mumbai Indians","mumbai indians","2022","M  Ashwin"
"M Ashwin","M  Ashwin","Rajasthan Royals","rajasthan royals","2023","M  Ashwin"
"Mukesh Choudhary","M  Choudhary","Chennai Super Kings","chennai super kings","2022","M  Choudhary"
"Mayank Dagar","M  Dagar","Sunrisers Hyderabad","sunrisers hyderabad","2023","M  Dagar"
"MS Dhoni","M  Dhoni","Rising Pune Supergiants","rising pune supergiants","2017","M  Dhoni"
"MS Dhoni","M  Dhoni","Chennai Super Kings","chennai super kings","2018","M  Dhoni"
"MS Dhoni","M  Dhoni","Chennai Super Kings","chennai super kings","2019","M  Dhoni"
"MS Dhoni","M  Dhoni","Chennai Super Kings","chennai super kings","2020","M  Dhoni"
"MS Dhoni","M  Dhoni","Chennai Super Kings","chennai super kings","2021","M  Dhoni"
"MS Dhoni","M  Dhoni","Chennai Super Kings","chennai super kings","2022","M  Dhoni"
"MS Dhoni","M  Dhoni","Chennai Super Kings","chennai super kings","2023","M  Dhoni"
"MS Gony","M  Gony","Gujarat Lions","gujarat lions","2017","M  Gony"
"MJ Guptill","M  Guptill","Punjab Kings","punjab kings","2017","M  Guptill"
"MJ Guptill","M  Guptill","Sunrisers Hyderabad","sunrisers hyderabad","2019","M  Guptill"
"MC Henriques","M  Henriques","Sunrisers Hyderabad","sunrisers hyderabad","2017","M  Henriques"
"MC Henriques","M  Henriques","Punjab Kings","punjab kings","2021","M  Henriques"
"MJ Henry","M  Henry","Punjab Kings","punjab kings","2017","M  Henry"
"M Jansen","M  Jansen","Mumbai Indians","mumbai indians","2021","M  Jansen"
"M Jansen","M  Jansen","Sunrisers Hyderabad","sunrisers hyderabad","2022","M  Jansen"
"M Jansen","M  Jansen","Sunrisers Hyderabad","sunrisers hyderabad","2023","M  Jansen"
"MG Johnson","M  Johnson","Mumbai Indians","mumbai indians","2017","M  Johnson"
"MG Johnson","M  Johnson","Kolkata Knight Riders","kolkata knight riders","2018","M  Johnson"
"M Shahrukh Khan","M  Khan","Punjab Kings","punjab kings","2021","M  Khan"
"Mohsin Khan ","M  Khan ","Lucknow Super Giants","lucknow super giants","2022","M  Khan"
"Mohsin Khan ","M  Khan ","Lucknow Super Giants","lucknow super giants","2023","M  Khan"
"Monu Kumar","M  Kumar","Chennai Super Kings","chennai super kings","2020","M  Kumar"
"Mukesh Kumar","M  Kumar","Delhi Capitals","delhi capitals","2023","M  Kumar"
"MK Lomror","M  Lomror","Rajasthan Royals","rajasthan royals","2018","M  Lomror"
"MK Lomror","M  Lomror","Rajasthan Royals","rajasthan royals","2019","M  Lomror"
"MK Lomror","M  Lomror","Rajasthan Royals","rajasthan royals","2020","M  Lomror"
"MK Lomror","M  Lomror","Rajasthan Royals","rajasthan royals","2021","M  Lomror"
"MK Lomror","M  Lomror","Royal Challengers Bangalore","royal challengers bangalore","2022","M  Lomror"
"MK Lomror","M  Lomror","Royal Challengers Bangalore","royal challengers bangalore","2023","M  Lomror"
"M Markande","M  Markande","Mumbai Indians","mumbai indians","2018","M  Markande"
"M Markande","M  Markande","Mumbai Indians","mumbai indians","2019","M  Markande"
"M Markande","M  Markande","Rajasthan Royals","rajasthan royals","2021","M  Markande"
"M Markande","M  Markande","Mumbai Indians","mumbai indians","2022","M  Markande"
"M Markande","M  Markande","Sunrisers Hyderabad","sunrisers hyderabad","2023","M  Markande"
"MR Marsh","M  Marsh","Sunrisers Hyderabad","sunrisers hyderabad","2020","M  Marsh"
"MR Marsh","M  Marsh","Delhi Capitals","delhi capitals","2022","M  Marsh"
"MR Marsh","M  Marsh","Delhi Capitals","delhi capitals","2023","M  Marsh"
"MJ McClenaghan","M  McClenaghan","Mumbai Indians","mumbai indians","2017","M  McClenaghan"
"MJ McClenaghan","M  McClenaghan","Mumbai Indians","mumbai indians","2019","M  McClenaghan"
"Mohammad Nabi","M  Nabi","Sunrisers Hyderabad","sunrisers hyderabad","2017","M  Nabi"
"Mohammad Nabi","M  Nabi","Sunrisers Hyderabad","sunrisers hyderabad","2018","M  Nabi"
"Mohammad Nabi","M  Nabi","Sunrisers Hyderabad","sunrisers hyderabad","2019","M  Nabi"
"Mohammad Nabi","M  Nabi","Sunrisers Hyderabad","sunrisers hyderabad","2020","M  Nabi"
"Mohammad Nabi","M  Nabi","Sunrisers Hyderabad","sunrisers hyderabad","2021","M  Nabi"
"MK Pandey","M  Pandey","Kolkata Knight Riders","kolkata knight riders","2017","M  Pandey"
"MK Pandey","M  Pandey","Sunrisers Hyderabad","sunrisers hyderabad","2018","M  Pandey"
"MK Pandey","M  Pandey","Sunrisers Hyderabad","sunrisers hyderabad","2019","M  Pandey"
"MK Pandey","M  Pandey","Sunrisers Hyderabad","sunrisers hyderabad","2020","M  Pandey"
"MK Pandey","M  Pandey","Sunrisers Hyderabad","sunrisers hyderabad","2021","M  Pandey"
"MK Pandey","M  Pandey","Lucknow Super Giants","lucknow super giants","2022","M  Pandey"
"MK Pandey","M  Pandey","Delhi Capitals","delhi capitals","2023","M  Pandey"
"MM Patel","M  Patel","Gujarat Lions","gujarat lions","2017","M  Patel"
"M Pathirana","M  Pathirana","Chennai Super Kings","chennai super kings","2023","M  Pathirana"
"Mustafizur Rahman","M  Rahman","Sunrisers Hyderabad","sunrisers hyderabad","2017","M  Rahman"
"Mustafizur Rahman","M  Rahman","Mumbai Indians","mumbai indians","2018","M  Rahman"
"Mujeeb Ur Rahman","M  Rahman","Punjab Kings","punjab kings","2018","M  Rahman"
"Mujeeb Ur Rahman","M  Rahman","Punjab Kings","punjab kings","2019","M  Rahman"
"Mujeeb Ur Rahman","M  Rahman","Punjab Kings","punjab kings","2020","M  Rahman"
"Mustafizur Rahman","M  Rahman","Rajasthan Royals","rajasthan royals","2021","M  Rahman"
"Mujeeb Ur Rahman","M  Rahman","Sunrisers Hyderabad","sunrisers hyderabad","2021","M  Rahman"
"Mustafizur Rahman","M  Rahman","Delhi Capitals","delhi capitals","2022","M  Rahman"
"Mustafizur Rahman","M  Rahman","Delhi Capitals","delhi capitals","2023","M  Rahman"
"Mohit Rathee","M  Rathee","Punjab Kings","punjab kings","2023","M  Rathee"
"MJ Santner","M  Santner","Chennai Super Kings","chennai super kings","2019","M  Santner"
"MJ Santner","M  Santner","Chennai Super Kings","chennai super kings","2020","M  Santner"
"MJ Santner","M  Santner","Chennai Super Kings","chennai super kings","2022","M  Santner"
"MJ Santner","M  Santner","Chennai Super Kings","chennai super kings","2023","M  Santner"
"Mohammed Shami","M  Shami","Delhi Daredevils","delhi daredevils","2017","M  Shami"
"Mohammed Shami","M  Shami","Delhi Daredevils","delhi daredevils","2018","M  Shami"
"Mohammed Shami","M  Shami","Punjab Kings","punjab kings","2019","M  Shami"
"Mohammed Shami","M  Shami","Punjab Kings","punjab kings","2020","M  Shami"
"Mohammed Shami","M  Shami","Punjab Kings","punjab kings","2021","M  Shami"
"Mohammed Shami","M  Shami","Gujarat Titans","gujarat titans","2022","M  Shami"
"Mohammed Shami","M  Shami","Gujarat Titans","gujarat titans","2023","M  Shami"
"MM Sharma","M  Sharma","Punjab Kings","punjab kings","2017","M  Sharma"
"MM Sharma","M  Sharma","Punjab Kings","punjab kings","2018","M  Sharma"
"MM Sharma","M  Sharma","Chennai Super Kings","chennai super kings","2019","M  Sharma"
"MM Sharma","M  Sharma","Delhi Capitals","delhi capitals","2020","M  Sharma"
"MM Sharma","M  Sharma","Gujarat Titans","gujarat titans","2023","M  Sharma"
"Mandeep Singh","M  Singh","Royal Challengers Bangalore","royal challengers bangalore","2017","M  Singh"
"Mandeep Singh","M  Singh","Royal Challengers Bangalore","royal challengers bangalore","2018","M  Singh"
"Mandeep Singh","M  Singh","Punjab Kings","punjab kings","2019","M  Singh"
"Mandeep Singh","M  Singh","Punjab Kings","punjab kings","2020","M  Singh"
"Mandeep Singh","M  Singh","Punjab Kings","punjab kings","2021","M  Singh"
"Mandeep Singh","M  Singh","Delhi Capitals","delhi capitals","2022","M  Singh"
"Mandeep Singh","M  Singh","Kolkata Knight Riders","kolkata knight riders","2023","M  Singh"
"Mohammed Siraj","M  Siraj","Sunrisers Hyderabad","sunrisers hyderabad","2017","M  Siraj"
"Mohammed Siraj","M  Siraj","Royal Challengers Bangalore","royal challengers bangalore","2018","M  Siraj"
"Mohammed Siraj","M  Siraj","Royal Challengers Bangalore","royal challengers bangalore","2019","M  Siraj"
"Mohammed Siraj","M  Siraj","Royal Challengers Bangalore","royal challengers bangalore","2020","M  Siraj"
"Mohammed Siraj","M  Siraj","Royal Challengers Bangalore","royal challengers bangalore","2021","M  Siraj"
"Mohammed Siraj","M  Siraj","Royal Challengers Bangalore","royal challengers bangalore","2022","M  Siraj"
"Mohammed Siraj","M  Siraj","Royal Challengers Bangalore","royal challengers bangalore","2023","M  Siraj"
"MP Stoinis","M  Stoinis","Punjab Kings","punjab kings","2017","M  Stoinis"
"MP Stoinis","M  Stoinis","Punjab Kings","punjab kings","2018","M  Stoinis"
"MP Stoinis","M  Stoinis","Royal Challengers Bangalore","royal challengers bangalore","2019","M  Stoinis"
"MP Stoinis","M  Stoinis","Delhi Capitals","delhi capitals","2020","M  Stoinis"
"MP Stoinis","M  Stoinis","Delhi Capitals","delhi capitals","2021","M  Stoinis"
"MP Stoinis","M  Stoinis","Lucknow Super Giants","lucknow super giants","2022","M  Stoinis"
"MP Stoinis","M  Stoinis","Lucknow Super Giants","lucknow super giants","2023","M  Stoinis"
"M Theekshana","M  Theekshana","Chennai Super Kings","chennai super kings","2022","M  Theekshana"
"M Theekshana","M  Theekshana","Chennai Super Kings","chennai super kings","2023","M  Theekshana"
"MK Tiwary","M  Tiwary","Rising Pune Supergiants","rising pune supergiants","2017","M  Tiwary"
"MK Tiwary","M  Tiwary","Punjab Kings","punjab kings","2018","M  Tiwary"
"M Vijay","M  Vijay","Chennai Super Kings","chennai super kings","2018","M  Vijay"
"M Vijay","M  Vijay","Chennai Super Kings","chennai super kings","2019","M  Vijay"
"M Vijay","M  Vijay","Chennai Super Kings","chennai super kings","2020","M  Vijay"
"M Vohra","M  Vohra","Punjab Kings","punjab kings","2017","M  Vohra"
"M Vohra","M  Vohra","Royal Challengers Bangalore","royal challengers bangalore","2018","M  Vohra"
"M Vohra","M  Vohra","Rajasthan Royals","rajasthan royals","2021","M  Vohra"
"M Vohra","M  Vohra","Lucknow Super Giants","lucknow super giants","2022","M  Vohra"
"M Vohra","M  Vohra","Lucknow Super Giants","lucknow super giants","2023","M  Vohra"
"MS Wade","M  Wade","Gujarat Titans","gujarat titans","2022","M  Wade"
"MA Wood","M  Wood","Chennai Super Kings","chennai super kings","2018","M  Wood"
"MA Wood","M  Wood","Lucknow Super Giants","lucknow super giants","2023","M  Wood"
"Noor Ahmad","N  Ahmad","Gujarat Titans","gujarat titans","2023","N  Ahmad"
"NM Coulter~Nile","N  Coulter~Nile","Kolkata Knight Riders","kolkata knight riders","2017","N  Coulter-Nile"
"NM Coulter~Nile","N  Coulter~Nile","Mumbai Indians","mumbai indians","2020","N  Coulter-Nile"
"NM Coulter~Nile","N  Coulter~Nile","Mumbai Indians","mumbai indians","2021","N  Coulter-Nile"
"NM Coulter~Nile","N  Coulter~Nile","Rajasthan Royals","rajasthan royals","2022","N  Coulter-Nile"
"NT Ellis","N  Ellis","Punjab Kings","punjab kings","2022","N  Ellis"
"NT Ellis","N  Ellis","Punjab Kings","punjab kings","2023","N  Ellis"
"Naveen ul Haq","N  Haq","Lucknow Super Giants","lucknow super giants","2023","N  Haq"
"N Jagadeesan","N  Jagadeesan","Chennai Super Kings","chennai super kings","2020","N  Jagadeesan"
"N Jagadeesan","N  Jagadeesan","Chennai Super Kings","chennai super kings","2022","N  Jagadeesan"
"N Jagadeesan","N  Jagadeesan","Kolkata Knight Riders","kolkata knight riders","2023","N  Jagadeesan"
"NS Naik","N  Naik","Kolkata Knight Riders","kolkata knight riders","2019","N  Naik"
"NS Naik","N  Naik","Kolkata Knight Riders","kolkata knight riders","2020","N  Naik"
"NV Ojha","N  Ojha","Sunrisers Hyderabad","sunrisers hyderabad","2017","N  Ojha"
"NV Ojha","N  Ojha","Delhi Daredevils","delhi daredevils","2018","N  Ojha"
"N Pooran","N  Pooran","Punjab Kings","punjab kings","2019","N  Pooran"
"N Pooran","N  Pooran","Punjab Kings","punjab kings","2020","N  Pooran"
"N Pooran","N  Pooran","Punjab Kings","punjab kings","2021","N  Pooran"
"N Pooran","N  Pooran","Sunrisers Hyderabad","sunrisers hyderabad","2022","N  Pooran"
"N Pooran","N  Pooran","Lucknow Super Giants","lucknow super giants","2023","N  Pooran"
"N Rana","N  Rana","Mumbai Indians","mumbai indians","2017","N  Rana"
"N Rana","N  Rana","Kolkata Knight Riders","kolkata knight riders","2018","N  Rana"
"N Rana","N  Rana","Kolkata Knight Riders","kolkata knight riders","2019","N  Rana"
"N Rana","N  Rana","Kolkata Knight Riders","kolkata knight riders","2020","N  Rana"
"N Rana","N  Rana","Kolkata Knight Riders","kolkata knight riders","2021","N  Rana"
"N Rana","N  Rana","Kolkata Knight Riders","kolkata knight riders","2022","N  Rana"
"N Rana","N  Rana","Kolkata Knight Riders","kolkata knight riders","2023","N  Rana"
"Nithish Kumar Reddy","N  Reddy","Sunrisers Hyderabad","sunrisers hyderabad","2023","N  Reddy"
"NA Saini","N  Saini","Royal Challengers Bangalore","royal challengers bangalore","2019","N  Saini"
"NA Saini","N  Saini","Royal Challengers Bangalore","royal challengers bangalore","2020","N  Saini"
"NA Saini","N  Saini","Royal Challengers Bangalore","royal challengers bangalore","2021","N  Saini"
"NA Saini","N  Saini","Rajasthan Royals","rajasthan royals","2022","N  Saini"
"NA Saini","N  Saini","Rajasthan Royals","rajasthan royals","2023","N  Saini"
"NB Singh","N  Singh","Gujarat Lions","gujarat lions","2017","N  Singh"
"N Wadhera","N  Wadhera","Mumbai Indians","mumbai indians","2023","N  Wadhera"
"OC McCoy","O  McCoy","Rajasthan Royals","rajasthan royals","2022","O  McCoy"
"OC McCoy","O  McCoy","Rajasthan Royals","rajasthan royals","2023","O  McCoy"
"OF Smith","O  Smith","Punjab Kings","punjab kings","2022","O  Smith"
"O Thomas","O  Thomas","Rajasthan Royals","rajasthan royals","2019","O  Thomas"
"P Ray Barman","P  Barman","Royal Challengers Bangalore","royal challengers bangalore","2019","P  Barman"
"PP Chawla","P  Chawla","Kolkata Knight Riders","kolkata knight riders","2017","P  Chawla"
"PP Chawla","P  Chawla","Kolkata Knight Riders","kolkata knight riders","2018","P  Chawla"
"PP Chawla","P  Chawla","Kolkata Knight Riders","kolkata knight riders","2019","P  Chawla"
"PP Chawla","P  Chawla","Chennai Super Kings","chennai super kings","2020","P  Chawla"
"PP Chawla","P  Chawla","Mumbai Indians","mumbai indians","2021","P  Chawla"
"PP Chawla","P  Chawla","Mumbai Indians","mumbai indians","2023","P  Chawla"
"P Chopra","P  Chopra","Rajasthan Royals","rajasthan royals","2018","P  Chopra"
"PJ Cummins","P  Cummins","Delhi Daredevils","delhi daredevils","2017","P  Cummins"
"PJ Cummins","P  Cummins","Kolkata Knight Riders","kolkata knight riders","2020","P  Cummins"
"PJ Cummins","P  Cummins","Kolkata Knight Riders","kolkata knight riders","2021","P  Cummins"
"PJ Cummins","P  Cummins","Kolkata Knight Riders","kolkata knight riders","2022","P  Cummins"
"P Dubey","P  Dubey","Delhi Capitals","delhi capitals","2023","P  Dubey"
"PK Garg","P  Garg","Sunrisers Hyderabad","sunrisers hyderabad","2020","P  Garg"
"PK Garg","P  Garg","Sunrisers Hyderabad","sunrisers hyderabad","2021","P  Garg"
"PK Garg","P  Garg","Sunrisers Hyderabad","sunrisers hyderabad","2022","P  Garg"
"M Prasidh Krishna","M  Krishna","Kolkata Knight Riders","kolkata knight riders","2019","P  Krishna"
"M Prasidh Krishna","M  Krishna","Kolkata Knight Riders","kolkata knight riders","2020","P  Krishna"
"M Prasidh Krishna","M  Krishna","Kolkata Knight Riders","kolkata knight riders","2021","P  Krishna"
"M Prasidh Krishna","M  Krishna","Rajasthan Royals","rajasthan royals","2022","P  Krishna"
"P Kumar","P  Kumar","Gujarat Lions","gujarat lions","2017","P  Kumar"
"PN Mankad","P  Mankad","Punjab Kings","punjab kings","2022","P  Mankad"
"PN Mankad","P  Mankad","Lucknow Super Giants","lucknow super giants","2023","P  Mankad"
"P Negi","P  Negi","Royal Challengers Bangalore","royal challengers bangalore","2017","P  Negi"
"P Negi","P  Negi","Royal Challengers Bangalore","royal challengers bangalore","2018","P  Negi"
"P Negi","P  Negi","Royal Challengers Bangalore","royal challengers bangalore","2019","P  Negi"
"PA Patel","P  Patel","Mumbai Indians","mumbai indians","2017","P  Patel"
"PA Patel","P  Patel","Royal Challengers Bangalore","royal challengers bangalore","2018","P  Patel"
"PA Patel","P  Patel","Royal Challengers Bangalore","royal challengers bangalore","2019","P  Patel"
"Y Prithvi Raj","Y  Raj","Kolkata Knight Riders","kolkata knight riders","2019","P  Raj"
"PD Salt","P  Salt","Delhi Capitals","delhi capitals","2023","P  Salt"
"PJ Sangwan","P  Sangwan","Gujarat Lions","gujarat lions","2017","P  Sangwan"
"PJ Sangwan","P  Sangwan","Mumbai Indians","mumbai indians","2018","P  Sangwan"
"PJ Sangwan","P  Sangwan","Gujarat Titans","gujarat titans","2022","P  Sangwan"
"PP Shaw","P  Shaw","Delhi Daredevils","delhi daredevils","2018","P  Shaw"
"PP Shaw","P  Shaw","Delhi Capitals","delhi capitals","2019","P  Shaw"
"PP Shaw","P  Shaw","Delhi Capitals","delhi capitals","2020","P  Shaw"
"PP Shaw","P  Shaw","Delhi Capitals","delhi capitals","2021","P  Shaw"
"PP Shaw","P  Shaw","Delhi Capitals","delhi capitals","2022","P  Shaw"
"PP Shaw","P  Shaw","Delhi Capitals","delhi capitals","2023","P  Shaw"
"PWH de Silva","P  Silva","Royal Challengers Bangalore","royal challengers bangalore","2022","P  Silva"
"PWH de Silva","P  Silva","Royal Challengers Bangalore","royal challengers bangalore","2023","P  Silva"
"P Simran Singh","P  Singh","Punjab Kings","punjab kings","2019","P  Singh"
"P Simran Singh","P  Singh","Punjab Kings","punjab kings","2020","P  Singh"
"P Simran Singh","P  Singh","Punjab Kings","punjab kings","2021","P  Singh"
"P Simran Singh","P  Singh","Punjab Kings","punjab kings","2022","P  Singh"
"P Simran Singh","P  Singh","Punjab Kings","punjab kings","2023","P  Singh"
"PH Solanki","P  Solanki","Chennai Super Kings","chennai super kings","2022","P  Solanki"
"Q de Kock","Q  Kock","Royal Challengers Bangalore","royal challengers bangalore","2018","Q  Kock"
"Q de Kock","Q  Kock","Mumbai Indians","mumbai indians","2019","Q  Kock"
"Q de Kock","Q  Kock","Mumbai Indians","mumbai indians","2020","Q  Kock"
"Q de Kock","Q  Kock","Mumbai Indians","mumbai indians","2021","Q  Kock"
"Q de Kock","Q  Kock","Lucknow Super Giants","lucknow super giants","2022","Q  Kock"
"Q de Kock","Q  Kock","Lucknow Super Giants","lucknow super giants","2023","Q  Kock"
"R Ashwin","R  Ashwin","Punjab Kings","punjab kings","2018","R  Ashwin"
"R Ashwin","R  Ashwin","Punjab Kings","punjab kings","2019","R  Ashwin"
"R Ashwin","R  Ashwin","Delhi Capitals","delhi capitals","2020","R  Ashwin"
"R Ashwin","R  Ashwin","Delhi Capitals","delhi capitals","2021","R  Ashwin"
"R Ashwin","R  Ashwin","Rajasthan Royals","rajasthan royals","2022","R  Ashwin"
"R Ashwin","R  Ashwin","Rajasthan Royals","rajasthan royals","2023","R  Ashwin"
"RA Bawa","R  Bawa","Punjab Kings","punjab kings","2022","R  Bawa"
"R Bhatia","R  Bhatia","Rising Pune Supergiants","rising pune supergiants","2017","R  Bhatia"
"RK Bhui","R  Bhui","Sunrisers Hyderabad","sunrisers hyderabad","2018","R  Bhui"
"RK Bhui","R  Bhui","Sunrisers Hyderabad","sunrisers hyderabad","2019","R  Bhui"
"Ravi Bishnoi","R  Bishnoi","Punjab Kings","punjab kings","2020","R  Bishnoi"
"Ravi Bishnoi","R  Bishnoi","Punjab Kings","punjab kings","2021","R  Bishnoi"
"Ravi Bishnoi","R  Bishnoi","Lucknow Super Giants","lucknow super giants","2022","R  Bishnoi"
"Ravi Bishnoi","R  Bishnoi","Lucknow Super Giants","lucknow super giants","2023","R  Bishnoi"
"RD Chahar","R  Chahar","Rising Pune Supergiants","rising pune supergiants","2017","R  Chahar"
"RD Chahar","R  Chahar","Mumbai Indians","mumbai indians","2019","R  Chahar"
"RD Chahar","R  Chahar","Mumbai Indians","mumbai indians","2020","R  Chahar"
"RD Chahar","R  Chahar","Mumbai Indians","mumbai indians","2021","R  Chahar"
"RD Chahar","R  Chahar","Punjab Kings","punjab kings","2022","R  Chahar"
"RD Chahar","R  Chahar","Punjab Kings","punjab kings","2023","R  Chahar"
"R Dhawan","R  Dhawan","Punjab Kings","punjab kings","2022","R  Dhawan"
