"","player.x","team","competition","season","total_bat_wpa","runs_for","wickets_lost","balls_faced","total_bat_XRA","total_bowl_wpa","wickets_taken","runs_against","balls_bowled","total_bowl_XRA","bowl_wpa_per_ball","bowl_XRA_per_ball","bowl_economy","bowl_average","bat_wpa_per_ball","bat_XRA_per_ball","strike_rate","average","total_wpa","total_XRA","balls_total","total_wpa_per_ball","total_XRA_per_ball","season_singular","logo","team_colours","team_colour2","player_name_first","player_name_last","player_fuzzy_ipl_contracts","player_full","position","position_detail","price_lakhs","price_dollars_thousands","wpa_per_thous","wpa_per_lakh","XRA_per_thous","XRA_per_lakh","wins","losses","games_played","win_percentage"
"321","Harpreet Brar","Punjab Kings","Indian Premier League","2019",5,20,0,14,4.28,-30,0,48,30,-17.1,-1,-0.57,9.6,Inf,0.36,0.31,8.57,Inf,-25,-12.82,44,-0.57,-0.29,2019,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/317000/317003.png","#DA1726","#F8F2F2","H","Brar","H  Brar","Harpreet Brar","AR","All Rounder",20,27,-0.93,-1.25,-0.47,-0.64,6,8,14,0.428571428571429
"322","Harpreet Brar","Punjab Kings","Indian Premier League","2020/21",0,0,0,0,0,-1,0,41,25,-13.8,-0.04,-0.55,9.84,Inf,0,0,NA,NA,-1,-13.8,25,-0.04,-0.55,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/317000/317003.png","#DA1726","#F8F2F2","H","Brar","H  Brar","Harpreet Brar","AR","All Rounder",20,28,-0.04,-0.05,-0.49,-0.69,5,9,14,0.357142857142857
"323","Harpreet Brar","Punjab Kings","Indian Premier League","2021",6,64,0,61,-2.14,-23,5,142,141,5.53,-0.16,0.04,6.04,28.4,0.1,-0.04,6.3,Inf,-17,3.39,202,-0.08,0.02,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/317000/317003.png","#DA1726","#F8F2F2","H","Brar","H  Brar","Harpreet Brar","AR","All Rounder",20,27,-0.63,-0.85,0.13,0.17,6,8,14,0.428571428571429
"324","Harpreet Brar","Punjab Kings","Indian Premier League","2022",-8,22,3,25,-5.71,17,4,148,100,-40.76,0.17,-0.41,8.88,37,-0.32,-0.23,5.28,7.33,9,-46.47,125,0.07,-0.37,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/317000/317003.png","#DA1726","#F8F2F2","H","Brar","H  Brar","Harpreet Brar","AR","All Rounder",380,506,0.02,0.02,-0.09,-0.12,7,7,14,0.5
"325","Harpreet Brar","Punjab Kings","Indian Premier League","2023",-13,52,7,42,0.56,12,9,219,166,-38.54,0.07,-0.23,7.92,24.33,-0.31,0.01,7.43,7.43,-1,-37.98,208,0,-0.18,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/317000/317003.png","#DA1726","#F8F2F2","H","Brar","H  Brar","Harpreet Brar","AR","All Rounder",380,463,0,0,-0.08,-0.1,6,8,14,0.428571428571429
"326","Harpreet Singh","Punjab Kings","Indian Premier League","2023",27,76,2,59,17.24,0,0,0,0,0,0,0,NA,NA,0.46,0.29,7.73,38,27,17.24,59,0.46,0.29,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/317000/317003.png","#DA1726","#F8F2F2","H","Singh","H  Singh","Harpreet Singh","BAT","Batter",40,48,0.56,0.68,0.36,0.43,6,8,14,0.428571428571429
"327","Harshit Rana","Kolkata Knight Riders","Indian Premier League","2023",-1,0,1,1,-1.55,54,6,153,108,-38.98,0.5,-0.36,8.5,25.5,-1,-1.55,0,0,53,-40.54,109,0.49,-0.37,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313419.logo.png","#7A05AC","#AC9505","H","Rana","H  Rana","Harshit Rana","BOW","Bowler",20,24,2.21,2.65,-1.69,-2.03,6,8,14,0.428571428571429
"328","I Sharma","Delhi Capitals","Indian Premier League","2019",3,10,0,3,5.53,-30,14,364,285,-58.85,-0.11,-0.21,7.66,26,1,1.84,20,Inf,-27,-53.33,288,-0.09,-0.19,2019,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","I","Sharma","I  Sharma","Ishant Sharma","BOW","Bowler",110,152,-0.18,-0.25,-0.35,-0.48,9,7,16,0.5625
"329","I Sharma","Delhi Capitals","Indian Premier League","2020/21",0,0,0,0,0,-3,0,26,20,-4.58,-0.15,-0.23,7.8,Inf,0,0,NA,NA,-3,-4.58,20,-0.15,-0.23,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","I","Sharma","I  Sharma","Ishant Sharma","BOW","Bowler",110,154,-0.02,-0.03,-0.03,-0.04,8,9,17,0.470588235294118
"330","I Sharma","Delhi Capitals","Indian Premier League","2021",0,0,0,0,0,-12,1,98,72,-20.21,-0.17,-0.28,8.17,98,0,0,NA,NA,-12,-20.21,72,-0.17,-0.28,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","I","Sharma","I  Sharma","Ishant Sharma","BOW","Bowler",110,150,-0.08,-0.11,-0.13,-0.18,9,7,16,0.5625
"331","I Sharma","Delhi Capitals","Indian Premier League","2023",1,1,0,1,-0.47,21,10,210,157,-37.61,0.13,-0.24,8.03,21,1,-0.47,6,Inf,22,-38.08,158,0.14,-0.24,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","I","Sharma","I  Sharma","Ishant Sharma","BOW","Bowler",50,60,0.37,0.44,-0.63,-0.76,5,9,14,0.357142857142857
"332","I Udana","Royal Challengers Bangalore","Indian Premier League","2020/21",0,15,3,11,0.9,10,8,286,182,-75.75,0.05,-0.42,9.43,35.75,0,0.08,8.18,5,10,-74.86,193,0.05,-0.39,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313418.logo.png","#030156","#D52719","I","Udana","I  Udana","Isuru Udana","AR","All Rounder",50,70,0.14,0.2,-1.07,-1.5,6,9,15,0.4
"333","IC Porel","Punjab Kings","Indian Premier League","2021",0,0,0,0,0,-5,1,42,26,-13.35,-0.19,-0.51,9.69,42,0,0,NA,NA,-5,-13.35,26,-0.19,-0.51,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/317000/317003.png","#DA1726","#F8F2F2","I","Porel","I  Porel","Ishan Porel","BOW","Bowler",20,27,-0.19,-0.25,-0.49,-0.67,6,8,14,0.428571428571429
"334","IR Jaggi","Kolkata Knight Riders","Indian Premier League","2017",-9,33,1,40,-5.97,0,0,0,0,0,0,0,NA,NA,-0.22,-0.15,4.95,33,-9,-5.97,40,-0.22,-0.15,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313419.logo.png","#7A05AC","#AC9505","I","Jaggi","I  Jaggi","Ishank Jaggi","BAT","Batter",10,14,-0.64,-0.9,-0.43,-0.6,8,8,16,0.5
"335","IS Sodhi","Rajasthan Royals","Indian Premier League","2019",-2,6,1,12,-3.73,20,4,67,44,-20.86,0.45,-0.47,9.14,16.75,-0.17,-0.31,3,6,18,-24.59,56,0.32,-0.44,2019,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","I","Sodhi","I  Sodhi","Ish Sodhi","BOW","Bowler",50,69,0.26,0.36,-0.36,-0.49,5,9,14,0.357142857142857
"336","Imran Tahir","Chennai Super Kings","Indian Premier League","2018",-1,2,0,2,-0.2,-16,6,193,126,-49.06,-0.13,-0.39,9.19,32.17,-0.5,-0.1,6,Inf,-17,-49.27,128,-0.13,-0.38,2018,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313421.logo.png","#07102C","#EADC04","I","Tahir","I  Tahir","Imran Tahir","BOW","Bowler",100,156,-0.11,-0.17,-0.32,-0.49,11,5,16,0.6875
"337","Imran Tahir","Chennai Super Kings","Indian Premier League","2019",0,0,0,0,0,8,26,440,388,-15.15,0.02,-0.04,6.8,16.92,0,0,NA,NA,8,-15.15,388,0.02,-0.04,2019,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313421.logo.png","#07102C","#EADC04","I","Tahir","I  Tahir","Imran Tahir","BOW","Bowler",100,138,0.06,0.08,-0.11,-0.15,10,7,17,0.588235294117647
"338","Imran Tahir","Chennai Super Kings","Indian Premier League","2020/21",0,13,0,10,2.63,-5,1,78,66,-7.02,-0.08,-0.11,7.09,78,0,0.26,7.8,Inf,-5,-4.39,76,-0.07,-0.06,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313421.logo.png","#07102C","#EADC04","I","Tahir","I  Tahir","Imran Tahir","BOW","Bowler",100,140,-0.04,-0.05,-0.03,-0.04,6,8,14,0.428571428571429
"339","Imran Tahir","Chennai Super Kings","Indian Premier League","2021",0,0,0,0,0,1,3,16,26,10.99,0.04,0.42,3.69,5.33,0,0,NA,NA,1,10.99,26,0.04,0.42,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313421.logo.png","#07102C","#EADC04","I","Tahir","I  Tahir","Imran Tahir","BOW","Bowler",100,136,0.01,0.01,0.08,0.11,11,5,16,0.6875
"340","Iqbal Abdulla","Royal Challengers Bangalore","Indian Premier League","2017",0,5,0,7,-3.95,4,2,55,34,-20.83,0.12,-0.61,9.71,27.5,0,-0.56,4.29,Inf,4,-24.78,41,0.1,-0.6,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313418.logo.png","#030156","#D52719","I","Abdulla","I  Abdulla","Iqbal Abdulla","BOW","Bowler",10,14,0.29,0.4,-1.77,-2.48,3,10,13,0.230769230769231
"341","Ishan Kishan","Gujarat Lions","Indian Premier League","2017",79,277,10,214,52.74,0,0,0,0,0,0,0,NA,NA,0.37,0.25,7.77,27.7,79,52.74,214,0.37,0.25,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313500/313525.logo.png","#D13617","#1774D1","I","Kishan","I  Kishan","Ishan Kishan","WK","Wicket Keeper",35,52,1.52,2.26,1.01,1.51,4,10,14,0.285714285714286
"342","Ishan Kishan","Mumbai Indians","Indian Premier League","2018",-31,275,12,187,76.48,0,0,0,0,0,0,0,NA,NA,-0.17,0.41,8.82,22.92,-31,76.48,187,-0.17,0.41,2018,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/344000/344062.png","#0C6CA7","#F0DD1F","I","Kishan","I  Kishan","Ishan Kishan","WK","Wicket Keeper",620,968,-0.03,-0.05,0.08,0.12,6,8,14,0.428571428571429
"343","Ishan Kishan","Mumbai Indians","Indian Premier League","2019",-19,101,5,104,-1.56,0,0,0,0,0,0,0,NA,NA,-0.18,-0.01,5.83,20.2,-19,-1.56,104,-0.18,-0.01,2019,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/344000/344062.png","#0C6CA7","#F0DD1F","I","Kishan","I  Kishan","Ishan Kishan","BAT/WK","Batter/Wicket Keeper",620,861,-0.02,-0.03,0,0,10,6,16,0.625
"344","Ishan Kishan","Mumbai Indians","Indian Premier League","2020/21",118,516,9,361,139.23,0,0,0,0,0,0,0,NA,NA,0.33,0.39,8.58,57.33,118,139.23,361,0.33,0.39,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/344000/344062.png","#0C6CA7","#F0DD1F","I","Kishan","I  Kishan","Ishan Kishan","BAT/WK","Batter/Wicket Keeper",620,873,0.14,0.19,0.16,0.22,11,5,16,0.6875
"345","Ishan Kishan","Mumbai Indians","Indian Premier League","2021",-4,241,9,182,50.54,0,0,0,0,0,0,0,NA,NA,-0.02,0.28,7.95,26.78,-4,50.54,182,-0.02,0.28,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/344000/344062.png","#0C6CA7","#F0DD1F","I","Kishan","I  Kishan","Ishan Kishan","BAT/WK","Batter/Wicket Keeper",620,849,0,-0.01,0.06,0.08,7,7,14,0.5
"346","Ishan Kishan","Mumbai Indians","Indian Premier League","2022",-10,418,13,355,71.99,0,0,0,0,0,0,0,NA,NA,-0.03,0.2,7.06,32.15,-10,71.99,355,-0.03,0.2,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/344000/344062.png","#0C6CA7","#F0DD1F","I","Kishan","I  Kishan","Ishan Kishan","BAT/WK","Batter/Wicket Keeper",1525,2033,0,-0.01,0.04,0.05,4,10,14,0.285714285714286
"347","Ishan Kishan","Mumbai Indians","Indian Premier League","2023",-48,454,15,325,131.43,0,0,0,0,0,0,0,NA,NA,-0.15,0.4,8.38,30.27,-48,131.43,325,-0.15,0.4,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/344000/344062.png","#0C6CA7","#F0DD1F","I","Kishan","I  Kishan","Ishan Kishan","BAT/WK","Batter/Wicket Keeper",1525,1859,-0.03,-0.03,0.07,0.09,9,7,16,0.5625
"348","J Little","Gujarat Titans","Indian Premier League","2023",0,0,0,0,0,-14,9,296,211,-54.73,-0.07,-0.26,8.42,32.89,0,0,NA,NA,-14,-54.73,211,-0.07,-0.26,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/334700/334707.png","#0C1C3E","#4BDCED","J","Little","J  Little","Joshua Little","BOW","Bowler",440,536,-0.03,-0.03,-0.1,-0.12,12,5,17,0.705882352941177
"349","J Suchith","Sunrisers Hyderabad","Indian Premier League","2021",44,14,0,6,7.3,-20,1,66,42,-20.81,-0.48,-0.5,9.43,66,7.33,1.22,14,Inf,24,-13.51,48,0.5,-0.28,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313480.logo.png","#130801","#F96F0F","J","Suchith","J  Suchith","Jagadeesha Suchith","BOW","Bowler",30,41,0.59,0.8,-0.33,-0.45,3,11,14,0.214285714285714
"350","J Suchith","Sunrisers Hyderabad","Indian Premier League","2022",-12,2,2,8,-6.11,-12,7,141,115,-13.59,-0.1,-0.12,7.36,20.14,-1.5,-0.76,1.5,1,-24,-19.7,123,-0.2,-0.16,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313480.logo.png","#130801","#F96F0F","J","Suchith","J  Suchith","J Suchith","BOW","Bowler",20,26,-0.92,-1.2,-0.76,-0.98,6,8,14,0.428571428571429
"351","J Yadav","Delhi Daredevils","Indian Premier League","2017",0,0,0,0,0,-7,0,43,37,-3.41,-0.19,-0.09,6.97,Inf,0,0,NA,NA,-7,-3.41,37,-0.19,-0.09,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313422.logo.png","royalblue3","#E63129","J","Yadav","J  Yadav","Jayant Yadav","AR","All Rounder",10,14,-0.5,-0.7,-0.24,-0.34,6,8,14,0.428571428571429
"352","J Yadav","Gujarat Titans","Indian Premier League","2023",0,0,0,0,0,-3,0,26,24,-1.71,-0.12,-0.07,6.5,Inf,0,0,NA,NA,-3,-1.71,24,-0.12,-0.07,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/334700/334707.png","#0C1C3E","#4BDCED","J","Yadav","J  Yadav","Jayant Yadav","AR","All Rounder",170,207,-0.01,-0.02,-0.01,-0.01,12,5,17,0.705882352941177
"353","J Yadav","Mumbai Indians","Indian Premier League","2019",0,0,0,0,0,-3,1,50,43,-5.58,-0.07,-0.13,6.98,50,0,0,NA,NA,-3,-5.58,43,-0.07,-0.13,2019,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/344000/344062.png","#0C6CA7","#F0DD1F","J","Yadav","J  Yadav","Jayant Yadav","AR","All Rounder",50,69,-0.04,-0.06,-0.08,-0.11,10,6,16,0.625
"354","J Yadav","Mumbai Indians","Indian Premier League","2020/21",0,0,0,0,0,3,1,43,42,3.8,0.07,0.09,6.14,43,0,0,NA,NA,3,3.8,42,0.07,0.09,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/344000/344062.png","#0C6CA7","#F0DD1F","J","Yadav","J  Yadav","Jayant Yadav","AR","All Rounder",50,70,0.04,0.06,0.05,0.08,11,5,16,0.6875
"355","J Yadav","Mumbai Indians","Indian Premier League","2021",2,34,2,26,3.69,-15,3,131,106,-22,-0.14,-0.21,7.42,43.67,0.08,0.14,7.85,17,-13,-18.3,132,-0.1,-0.14,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/344000/344062.png","#0C6CA7","#F0DD1F","J","Yadav","J  Yadav","Jayant Yadav","AR","All Rounder",50,68,-0.19,-0.26,-0.27,-0.37,7,7,14,0.5
"356","JA Richardson","Punjab Kings","Indian Premier League","2021",-5,15,2,25,-11.82,-40,3,122,69,-46.96,-0.58,-0.68,10.61,40.67,-0.2,-0.47,3.6,7.5,-45,-58.79,94,-0.48,-0.63,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/317000/317003.png","#DA1726","#F8F2F2","J","Richardson","J  Richardson","Jhye Richardson","BOW","Bowler",1400,1917,-0.02,-0.03,-0.03,-0.04,6,8,14,0.428571428571429
"357","JC Archer","Mumbai Indians","Indian Premier League","2023",-4,4,0,4,-2.37,-34,2,202,129,-53.17,-0.26,-0.41,9.4,101,-1,-0.59,6,Inf,-38,-55.53,133,-0.29,-0.42,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/344000/344062.png","#0C6CA7","#F0DD1F","J","Archer","J  Archer","Jofra Archer","AR","All Rounder",800,975,-0.04,-0.05,-0.06,-0.07,9,7,16,0.5625
"358","JC Archer","Rajasthan Royals","Indian Premier League","2018",-5,15,5,21,-8.28,-98,15,329,249,-46.79,-0.39,-0.19,7.93,21.93,-0.24,-0.39,4.29,3,-103,-55.07,270,-0.38,-0.2,2018,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","J","Archer","J  Archer","Jofra Archer","AR","All Rounder",720,1125,-0.09,-0.14,-0.05,-0.08,7,8,15,0.466666666666667
"359","JC Archer","Rajasthan Royals","Indian Premier League","2019",39,67,2,41,17.06,-15,12,306,264,3.76,-0.06,0.01,6.95,25.5,0.95,0.42,9.8,33.5,24,20.82,305,0.08,0.07,2019,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","J","Archer","J  Archer","Jofra Archer","AR","All Rounder",720,1000,0.02,0.03,0.02,0.03,5,9,14,0.357142857142857
"360","JC Archer","Rajasthan Royals","Indian Premier League","2020/21",10,113,6,66,36.48,-10,20,373,345,22.58,-0.03,0.07,6.49,18.65,0.15,0.55,10.27,18.83,0,59.06,411,0,0.14,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","J","Archer","J  Archer","Jofra Archer","AR","All Rounder",720,1014,0,0,0.06,0.08,6,8,14,0.428571428571429
"361","JC Buttler","Mumbai Indians","Indian Premier League","2017",-24,272,8,184,101.52,0,0,0,0,0,0,0,NA,NA,-0.13,0.55,8.87,34,-24,101.52,184,-0.13,0.55,2017,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/344000/344062.png","#0C6CA7","#F0DD1F","J","Buttler","J  Buttler","Jos Buttler","WK","Wicket Keeper",380,567,-0.04,-0.06,0.18,0.27,11,6,17,0.647058823529412
"362","JC Buttler","Rajasthan Royals","Indian Premier League","2018",105,548,11,365,171,0,0,0,0,0,0,0,NA,NA,0.29,0.47,9.01,49.82,105,171,365,0.29,0.47,2018,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","J","Buttler","J  Buttler","Jos Buttler","WK","Wicket Keeper",440,687,0.15,0.24,0.25,0.39,7,8,15,0.466666666666667
"363","JC Buttler","Rajasthan Royals","Indian Premier League","2019",61,311,7,213,109.81,0,0,0,0,0,0,0,NA,NA,0.29,0.52,8.76,44.43,61,109.81,213,0.29,0.52,2019,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","J","Buttler","J  Buttler","Jos Buttler","BAT/WK","Batter/Wicket Keeper",440,611,0.1,0.14,0.18,0.25,5,9,14,0.357142857142857
"364","JC Buttler","Rajasthan Royals","Indian Premier League","2020/21",-28,328,11,233,98.76,0,0,0,0,0,0,0,NA,NA,-0.12,0.42,8.45,29.82,-28,98.76,233,-0.12,0.42,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","J","Buttler","J  Buttler","Jos Buttler","BAT/WK","Batter/Wicket Keeper",440,619,-0.05,-0.06,0.16,0.22,6,8,14,0.428571428571429
"365","JC Buttler","Rajasthan Royals","Indian Premier League","2021",32,254,7,173,83.14,0,0,0,0,0,0,0,NA,NA,0.18,0.48,8.81,36.29,32,83.14,173,0.18,0.48,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","J","Buttler","J  Buttler","Jos Buttler","BAT/WK","Batter/Wicket Keeper",440,602,0.05,0.07,0.14,0.19,5,9,14,0.357142857142857
"366","JC Buttler","Rajasthan Royals","Indian Premier League","2022",69,863,15,596,230.52,0,0,0,0,0,0,0,NA,NA,0.12,0.39,8.69,57.53,69,230.52,596,0.12,0.39,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","J","Buttler","J  Buttler","Jos Buttler","BAT/WK","Batter/Wicket Keeper",1000,1333,0.05,0.07,0.17,0.23,10,7,17,0.588235294117647
"367","JC Buttler","Rajasthan Royals","Indian Premier League","2023",-54,392,15,298,105.65,0,0,0,0,0,0,0,NA,NA,-0.18,0.35,7.89,26.13,-54,105.65,298,-0.18,0.35,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","J","Buttler","J  Buttler","Jos Buttler","BAT/WK","Batter/Wicket Keeper",1000,1219,-0.04,-0.05,0.09,0.11,7,7,14,0.5
"368","JD Unadkat","Lucknow Super Giants","Indian Premier League","2023",3,9,1,7,-1.25,-10,1,92,52,-32.15,-0.19,-0.62,10.62,92,0.43,-0.18,7.71,9,-7,-33.39,59,-0.12,-0.57,2023,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/333800/333885.png","#2283C6","#F58334","J","Unadkat","J  Unadkat","Jaydev Unadkat","BOW","Bowler",50,60,-0.12,-0.14,-0.56,-0.67,8,6,14,0.571428571428571
"369","JD Unadkat","Mumbai Indians","Indian Premier League","2022",0,59,1,37,14.25,-73,7,191,123,-47.61,-0.59,-0.39,9.32,27.29,0,0.39,9.57,59,-73,-33.36,160,-0.46,-0.21,2022,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/344000/344062.png","#0C6CA7","#F0DD1F","J","Unadkat","J  Unadkat","Jaydev Unadkat","BOW","Bowler",130,173,-0.42,-0.56,-0.19,-0.26,4,10,14,0.285714285714286
"370","JD Unadkat","Rajasthan Royals","Indian Premier League","2018",2,49,5,38,3.26,-50,12,486,310,-133.16,-0.16,-0.43,9.41,40.5,0.05,0.09,7.74,9.8,-48,-129.9,348,-0.14,-0.37,2018,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","J","Unadkat","J  Unadkat","Jaydev Unadkat","BOW","Bowler",1150,1796,-0.03,-0.04,-0.07,-0.11,7,8,15,0.466666666666667
"371","JD Unadkat","Rajasthan Royals","Indian Premier League","2019",-12,1,1,3,-3.53,-19,11,404,236,-123.41,-0.08,-0.52,10.27,36.73,-4,-1.18,2,1,-31,-126.94,239,-0.13,-0.53,2019,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","J","Unadkat","J  Unadkat","Jaydev Unadkat","BOW","Bowler",840,1166,-0.03,-0.04,-0.11,-0.15,5,9,14,0.357142857142857
"372","JD Unadkat","Rajasthan Royals","Indian Premier League","2020/21",-1,9,1,13,-3.2,-23,5,229,144,-64.86,-0.16,-0.45,9.54,45.8,-0.08,-0.25,4.15,9,-24,-68.05,157,-0.15,-0.43,2020,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","J","Unadkat","J  Unadkat","Jaydev Unadkat","BOW","Bowler",300,422,-0.06,-0.08,-0.16,-0.23,6,8,14,0.428571428571429
"373","JD Unadkat","Rajasthan Royals","Indian Premier League","2021",-7,41,2,32,9.81,-29,4,168,134,-26.3,-0.22,-0.2,7.52,42,-0.22,0.31,7.69,20.5,-36,-16.49,166,-0.22,-0.1,2021,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160,q_50/lsci/db/PICTURES/CMS/313400/313423.logo.png","#041276","#F92CE9","J","Unadkat","J  Unadkat","Jaydev Unadkat","BOW","Bowler",300,410,-0.09,-0.12,-0.04,-0.05,5,9,14,0.357142857142857
